"id","name","valueType","rank"
940,"GDP growth (annual %)","value","1.001"
40001,"Ease of Doing Business Global DTF (DB17-18 methodology)","dtf","1.001"
3386,"Venture capital availability, 1-7 (best)","rank","1.001"
415,"Ease of Doing Business Ranking","rank","1.001"
1026,"Imports of goods and services (current US$)","value","1.001"
1841,"International tourism, number of arrivals","value","1.001"
915,"Exports of goods and services (current US$)","value","1.001"
3385,"Venture capital availability, 1-7 (best)","value","1.001"
1541,"Foreign direct investment, net inflows (% of GDP)","value","1.001"
530,"Venture capital availability, 1-7 (best)","rank","1.001"
2013,"Research and development expenditure (% of GDP)","value","1.001"
529,"Venture capital availability, 1-7 (best)","value","1.001"
944,"GDP per capita (current US$)","value","1.002"
3787,"Competitive Industrial Performance Rank","value","1.002"
24784,"Business regulatory environment ","1 low to 6 high","1.010"
427,"Trading Across Borders: Cost to export Border compliance","value","2.001"
24695,"Travel and Tourism total contribution to GDP","usd_real","2.001"
459,"Time to start a business (days)","value","2.001"
3129,"Services Trade Restrictiveness Index","value","2.001"
2794,"Annual growth rates of creative goods exports","annual_average_growth_rate","2.001"
1035,"Inflation, consumer prices (annual %)","value","2.001"
2760,"% of firms identifying business licensing and permits as the biggest obstacle","value","2.001"
520,"Extent of market dominance","rank","2.001"
894,"Central government debt, total (% of GDP)","value","2.001"
910,"Exports of goods and services (annual % growth)","value","2.001"
315,"Trade / Days to clear imports from customs","value","2.001"
3110,"Know Startup Entrepreneur Rate","percent","2.001"
1750,"Liner shipping connectivity index (maximum value in 2004 = 100)","value","2.001"
3807,"Energy intensity of industrial sector (MJ/2011 USD PPP)","value","2.001"
1569,"Real effective exchange rate index (2010 = 100)","value","2.001"
1560,"Personal remittances, received (% of GDP)","value","2.001"
24696,"Travel and Tourism total contribution to GDP","percentage_growth","2.001"
24691,"Travel and Tourism total contribution to GDP","local_currency_nominal","2.001"
2015,"Scientific and technical journal articles","value","2.001"
972,"Gross capital formation (annual % growth)","value","2.001"
916,"Exports of goods and services (% of GDP)","value","2.001"
3294,"Unemployment, total (% of total labor force) (modeled ILO estimate) (WDI)","value","2.001"
608,"Availability of scientists and engineers","rank","2.001"
906,"Current account balance (% of GDP)","value","2.001"
24694,"Travel and Tourism total contribution to GDP","usd_nominal","2.001"
24692,"Travel and Tourism total contribution to GDP","local_currency_real","2.001"
24693,"Travel and Tourism total contribution to GDP","percentage_gdp","2.001"
3116,"Total early-stage Entrepreneurial Activity (TEA)","value","2.001"
607,"Availability of scientists and engineers","value","2.001"
632,"Global Competitiveness Index","rank","2.001"
631,"Global Competitiveness Index","value","2.001"
3127,"# of enterprise exits","value","2.001"
519,"Extent of market dominance","value","2.001"
324,"Logistics Performance Index","rank","2.002"
518,"Intensity of local competition","rank","2.002"
517,"Intensity of local competition","value","2.002"
24689,"Travel and Tourism total contribution to employment","jobs","2.002"
326,"Logistics Performance Index","rank_upper_bound","2.002"
24690,"Travel and Tourism total contribution to employment","percentage_growth","2.002"
1888,"New business density (new registrations per 1,000 people ages 15-64)","value","2.002"
1754,"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)","value","2.002"
1906,"Tariff rate, applied, simple mean, all products (%)","value","2.002"
328,"Logistics Performance Index","confidence_interval","2.002"
24688,"Travel and Tourism total contribution to employment","percentage_total_employment","2.002"
321,"Logistics Performance Index","value","2.002"
976,"Gross capital formation (current US$)","value","2.002"
327,"Logistics Performance Index","percentage_highest_performer","2.002"
289,"Corruption / Percent of firms identifying corruption as a major constraint","value","2.002"
1283,"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","value","2.002"
325,"Logistics Performance Index","rank_lower_bound","2.002"
423,"Trading Across Borders","rank","2.002"
460,"Cost to start a business (% of income per capita)","value","2.002"
322,"Logistics Performance Index","value_lower_bound","2.002"
40025,"Trading across borders (DB16-18 methodology)","dtf","2.002"
431,"Trading Across Borders: Cost to import Border compliance","value","2.002"
323,"Logistics Performance Index","value_upper_bound","2.002"
24785,"Transparency accountability and corruption in the public sector ","1 low to 6 high","2.010"
24787,"Efficiency of revenue mobilization ","1 low to 6 high","2.050"
24788,"Equity of public resource use ","1 low to 6 high","2.060"
24778,"Property rights and rule-based governance'","1 low to 6 high","2.070"
24789,"Fiscal policy ","1 low to 6 high","2.070"
24779,"Public sector management and institutions (Topic Average)","1 low to 6 high","2.080"
24780,"Quality of budgetary and financial management ","1 low to 6 high","2.090"
1253,"Alternative and nuclear energy (% of total energy use)","value","3.001"
401,"Export growth","quantity","3.001"
1096,"Personal remittances, received (current US$)","value","3.001"
1732,"Air transport, freight (million ton-km)","value","3.001"
3266,"Labour Productivity","20-49","3.001"
1126,"Trade in services (% of GDP)","value","3.001"
3268,"Labour Productivity","250+","3.001"
388,"Government Effectiveness","Estimate","3.001"
1540,"Foreign direct investment, net (BoP, current US$)","value","3.001"
3130,"Restrictions on foreign entry","value","3.001"
3264,"Labour Productivity","1-9","3.001"
2373,"No. Of Exported HS6 Digit Products","value","3.001"
310,"Trade / Percent of firms exporting directly or indirectly at least 1% of sales","value","3.001"
400,"Export growth","value","3.001"
404,"Export market share growth","quantity","3.001"
3117,"Established Business Ownership Rate","value","3.001"
1802,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)","value","3.001"
214,"Finance / Percent of firms with a bank loanline of credit","value","3.001"
482,"Resolving Insolvency: Cost % of estate","value","3.001"
391,"Government Effectiveness","Percentile Rank","3.001"
403,"Export market share growth","value","3.001"
1093,"Net trade in goods and services (BoP, current US$)","value","3.001"
2551,"% of workforce in the ICT sector","value","3.001"
3498,"10th pillar: Social impacts","rank","3.001"
2349,"Domestic value added embodied in foreign exports, share of gross exports","total","3.001"
970,"Goods exports (BoP, current US$)","value","3.001"
658,"Hiring and firing practices, 1-7 (best)","rank","3.001"
3122,"Informal Investors Rate","value","3.001"
1776,"GINI index (World Bank estimate)","value","3.001"
271,"% of firms having their own website","value","3.001"
2019,"Trademark applications, total","value","3.001"
1110,"Service exports (BoP, current US$)","value","3.001"
462,"Dealing with Construction Permits","rank","3.001"
558,"Intellectual property protection","rank","3.001"
743,"Business Sophistication","value","3.001"
810,"Agriculture, value added (% of GDP)","value","3.001"
1886,"Merchandise trade (% of GDP)","value","3.001"
1558,"Official exchange rate (LCU per US$, period average)","value","3.001"
905,"Current account balance (BoP, current US$)","value","3.001"
744,"Business Sophistication","rank","3.001"
52,"# of procedures to start a foreign business","value","3.001"
291,"Crime / Percent of firms paying for security","value","3.001"
244,"Infrastructure / Number of electrical outages in a typical month","value","3.001"
3246,"Gross output, volume indices, 1995 = 100","value","3.001"
836,"Life expectancy at birth, female (years)","value","3.001"
392,"Government Effectiveness","lower_bound","3.001"
330,"Customs","rank","3.001"
390,"Government Effectiveness","standard_error","3.001"
977,"Gross capital formation (% of GDP)","value","3.001"
329,"Customs","value","3.001"
557,"Intellectual property protection","value","3.001"
308,"Regulations and Taxes / Percent of firms identifying business licensing and permits as a major constraint","value","3.001"
945,"GDP per capita growth (annual %)","value","3.001"
279,"Corruption / Bribery incidence percent of firms experiencing at least one bribe payment request","value","3.001"
657,"Hiring and firing practices, 1-7 (best)","value","3.001"
2793,"Annual growth rates of creative goods imports","annual_average_growth_rate","3.001"
444,"Getting Credit: Depth of credit information","value","3.001"
2796,"Annual growth rates of creative services exports","value","3.001"
3497,"10th pillar: Social impacts","value","3.001"
405,"Export market share growth","unit_value","3.001"
40006,"Dealing with construction permits (DB16-18 methodology)","dtf","3.001"
402,"Export growth","unit_value","3.001"
3275,"Access to Financing","value","3.001"
393,"Government Effectiveness","upper_bound","3.001"
428,"Trading Across Borders: Cost to export Documentary compliance","value","3.001"
