Indicator_Short,Unit_Short,Scale,Source_Name,Source_Link,Indicator_Description,Section,Subsection,Subsection2,tcdata360_id,Source_ID
Overall Index,Index (0-1),1,SOURCE: WEF GGGR,http://reports.weforum.org/global-gender-gap-report-2016/,Overall Global Gender Gap Index,ECONOMIC PARTICIPATION,bar11,figure1,,temp_gggr_overall_index
"Labor force participation rate, female",% of female population ages 15+,1,SOURCE: WORLD BANK - WDI,http://data.worldbank.org/data-catalog/world-development-indicators,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",ECONOMIC PARTICIPATION,line13.1,,,SL.TLF.CACT.FE.ZS
"Labor force participation rate, male",% of female population ages 15+,1,SOURCE: WORLD BANK - WDI,http://data.worldbank.org/data-catalog/world-development-indicators,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",ECONOMIC PARTICIPATION,line13.1,,,SL.TLF.CACT.MA.ZS
Ratio of female to male labor force participation rate,%,1,SOURCE: WORLD BANK - WDI,http://data.worldbank.org/data-catalog/world-development-indicators,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),ECONOMIC PARTICIPATION,line12,,,SL.TLF.CACT.FM.ZS
"Informal employment, female",% of total non-agricultural employment,1,SOURCE: WORLD BANK - WDI,http://data.worldbank.org/data-catalog/world-development-indicators,"Informal employment, female (% of total non-agricultural employment)",ECONOMIC PARTICIPATION,line13.2,,,SL.ISV.IFRM.FE.ZS
"Informal employment, male",% of total non-agricultural employment,1,SOURCE: WORLD BANK - WDI,http://data.worldbank.org/data-catalog/world-development-indicators,"Informal employment, male (% of total non-agricultural employment)",ECONOMIC PARTICIPATION,line13.2,,,SL.ISV.IFRM.MA.ZS
Wage equality between women and men for similar work,Normalized Score (0-1),1,SOURCE: WEF GGGR,http://reports.weforum.org/global-gender-gap-report-2016/,"Wage equality between women and men for similar work (survey data, normalized on a 0-to-1 scale)",ECONOMIC PARTICIPATION,,line14,,temp_gggr_wageeq
"Employment in agriculture, female",% of female employment,1,SOURCE: WORLD BANK - WDI,http://data.worldbank.org/data-catalog/world-development-indicators,"Employment in agriculture, female (% of female employment)",WAGE EMPLOYMENT,bar21,,,SL.AGR.EMPL.FE.ZS
"Employment in agriculture, male",% of male employment,1,SOURCE: WORLD BANK - WDI,http://data.worldbank.org/data-catalog/world-development-indicators,"Employment in agriculture, male (% of male employment)",WAGE EMPLOYMENT,bar21,,,SL.AGR.EMPL.MA.ZS
"Employment in services, female",% of female employment,1,SOURCE: WORLD BANK - WDI,http://data.worldbank.org/data-catalog/world-development-indicators,"Employment in services, female (% of female employment)",WAGE EMPLOYMENT,bar21,,,SL.SRV.EMPL.FE.ZS
"Employment in services, male",% of male employment,1,SOURCE: WORLD BANK - WDI,http://data.worldbank.org/data-catalog/world-development-indicators,"Employment in services, male (% of male employment)",WAGE EMPLOYMENT,bar21,,,SL.SRV.EMPL.MA.ZS
